iter	Logloss
194	0.2923265634
195	0.2912035763
196	0.2905987694
197	0.288920884
198	0.2877529441
199	0.2862452352
200	0.2849046026
201	0.283791719
202	0.28263513
203	0.2811438405
204	0.2801716478
205	0.2793145811
206	0.2781239963
207	0.2773135094
208	0.2764976705
209	0.275523893
210	0.2745350936
211	0.2736620195
212	0.272755147
213	0.2719977113
214	0.2709954458
215	0.2700260823
216	0.2692405424
217	0.268664823
218	0.2675345164
219	0.2662039288
220	0.2655245639
221	0.2643784142
222	0.2631024667
223	0.2620354195
224	0.2609446464
225	0.2597452186
226	0.2586761939
227	0.2574990699
228	0.2565939727
229	0.2551036521
230	0.2543206802
231	0.2527315425
232	0.2519581611
233	0.2514981772
234	0.2509165841
235	0.2501485736
236	0.2489994238
237	0.2479256639
238	0.2470904717
239	0.2462701448
240	0.2452729659
241	0.2439423839
242	0.2426041875
243	0.2415648601
244	0.2405608679
245	0.2397864031
246	0.2387454125
247	0.238236433
248	0.2375356968
249	0.2362247078
250	0.2351699763
251	0.2341954398
252	0.233232566
253	0.2323183502
254	0.2307897451
255	0.2295162257
256	0.2288401985
257	0.2280031749
258	0.2272879656
259	0.2264642645
260	0.2257281369
261	0.2251113321
262	0.2242656716
263	0.2233155088
264	0.222247261
265	0.2217405893
266	0.2211959122
267	0.2205232205
268	0.219643475
269	0.2184643306
270	0.2178536427
271	0.2168790873
272	0.2162717568
273	0.2157038465
274	0.2150110158
275	0.2141155637
276	0.2135051863
277	0.2127592409
278	0.2115363052
279	0.2103225498
280	0.2095966907
281	0.2087394895
282	0.2076418718
283	0.2068974964
284	0.206219171
285	0.2048377725
286	0.2043505241
287	0.2035980488
288	0.2030374421
289	0.202421146
290	0.2016803723
291	0.2010664383
292	0.2001916827
293	0.1996834468
294	0.1989048222
295	0.1983639152
296	0.1977362548
297	0.1971888181
298	0.1966933082
299	0.1959969967
300	0.1953546353
301	0.1947718095
302	0.1942483714
303	0.1934128926
304	0.1927754318
305	0.19223238
306	0.1913811447
307	0.1907460086
308	0.190339764
309	0.1894949253
310	0.1890693533
311	0.1887411705
312	0.1879188131
313	0.1872790841
314	0.1863045874
315	0.1858129803
316	0.1848965695
317	0.1842376505
318	0.1836706821
319	0.1830651862
320	0.1823697732
321	0.1820318799
322	0.1812761277
323	0.1807636082
324	0.1801144023
325	0.1797013254
326	0.1789809575
327	0.1783118185
328	0.1775530118
329	0.1770581552
330	0.1765963619
331	0.1762127387
332	0.175433124
333	0.175024193
334	0.1747119231
335	0.1741760617
336	0.1736722877
337	0.172774851
338	0.1723827589
339	0.1719002931
340	0.171517816
341	0.17058236
342	0.1699619438
343	0.1694225235
344	0.1688063358
345	0.1682943108
346	0.1678066149
347	0.1671467419
348	0.166563451
349	0.1661020507
350	0.1654738301
351	0.1649107274
352	0.1643582547
353	0.1640824772
354	0.1636885361
355	0.1633669032
356	0.1629416617
357	0.1623897958
358	0.162015061
359	0.161447523
360	0.1612170874
361	0.1603968136
362	0.1596045925
363	0.1592212286
364	0.1585008309
365	0.1579399783
366	0.1572142437
367	0.1567616062
368	0.1562656801
369	0.1555151743
370	0.154937625
371	0.1545307558
372	0.1539011204
373	0.1533676198
374	0.1527952222
375	0.1525230071
376	0.1521972076
377	0.1516260857
378	0.1510989637
379	0.1506490131
380	0.1501187445
381	0.1494682211
382	0.1489055352
383	0.1484751677
384	0.1481444664
385	0.1479272068
386	0.1475056999
387	0.1472063493
388	0.1468640307
389	0.1462832249
390	0.1457962429
391	0.1451667258
392	0.1447707913
393	0.144295318
394	0.1435687995
395	0.1430396595
396	0.1426347682
397	0.1419938372
398	0.1414871446
399	0.140926221
400	0.1404754328
401	0.1398458373
402	0.1394708784
403	0.1391973993
404	0.1385416815
405	0.1382668274
406	0.1378140083
407	0.1374647473
408	0.1371504321
409	0.1368722876
410	0.1362190756
411	0.1359450706
412	0.1355716756
413	0.1351229225
414	0.1349177442
415	0.1343710525
416	0.1339003975
417	0.1333619479
418	0.1329239609
419	0.1323555062
420	0.1321654041
421	0.13165881
422	0.1313628557
423	0.1309017704
424	0.1305326738
425	0.1303100011
426	0.1296694867
427	0.1292999867
428	0.129034294
429	0.1286076011
430	0.1283091388
431	0.1279052259
432	0.127636932
433	0.1271664042
434	0.1269272801
435	0.1264718829
436	0.1261838987
437	0.1257481087
438	0.1254075015
439	0.1250695645
440	0.1246912828
441	0.1242863206
442	0.1239403281
443	0.123582628
444	0.1232288053
445	0.1228647632
446	0.1225616096
447	0.1221898449
448	0.1216550648
449	0.1212094312
450	0.1208132916
451	0.1205844468
452	0.1201079389
453	0.1200079496
454	0.1196710448
455	0.1194081924
456	0.1190321237
457	0.1187190728
458	0.1183209477
459	0.1180389672
460	0.1174601023
461	0.117109534
462	0.1168427478
463	0.1163787856
464	0.1160877162
465	0.1153764059
466	0.1150838222
467	0.1147633501
468	0.1144514655
469	0.1142712327
470	0.1139740396
471	0.1135978731
472	0.1131895805
473	0.1127447675
474	0.1123830512
475	0.1121029844
476	0.1118440643
477	0.1113828282
478	0.1111177796
479	0.1108149802
480	0.1106681194
481	0.1101739641
482	0.1098838899
483	0.1094394129
484	0.1091604794
485	0.1089344037
486	0.108615145
487	0.1083711346
488	0.1081314445
489	0.1078071751
490	0.107439373
491	0.1072544602
492	0.1068689584
493	0.1065741242
494	0.1061139257
495	0.1059397637
496	0.1056934305
497	0.1054397477
498	0.1052741993
499	0.1050159682
